2025-07-10 10:21:28,232 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Quantum predictive maintenance tables created
2025-07-10 10:21:28,351 | INFO | QUANTUM-NN-PREDICTIVE | [MAINT] Priority: MEDIUM, Confidence: 0.732
2025-07-10 10:21:28,352 | INFO | QUANTUM-NN-PREDICTIVE | [NN] Training Quantum Predictive Model for TYPE_PUMP...
2025-07-10 10:21:28,369 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Quantum Model Trained: 0.964 accuracy
2025-07-10 10:21:28,369 | INFO | QUANTUM-NN-PREDICTIVE | [Q] Quantum Advantage: 1.00x
2025-07-10 10:21:28,369 | INFO | QUANTUM-NN-PREDICTIVE | [PRED] Predicting failure for equipment PUMP_002...
2025-07-10 10:21:28,370 | ERROR | QUANTUM-NN-PREDICTIVE | Failed to record maintenance prediction: FOREIGN KEY constraint failed
2025-07-10 10:21:28,371 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Failure Prediction: 0.681 probability
2025-07-10 10:21:28,372 | INFO | QUANTUM-NN-PREDICTIVE | [MAINT] Priority: HIGH, Confidence: 0.768
2025-07-10 10:21:28,373 | INFO | QUANTUM-NN-PREDICTIVE | [NN] Training Quantum Predictive Model for TYPE_COMPRESSOR...
2025-07-10 10:21:28,390 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Quantum Model Trained: 0.963 accuracy
2025-07-10 10:21:28,390 | INFO | QUANTUM-NN-PREDICTIVE | [Q] Quantum Advantage: 1.00x
2025-07-10 10:21:28,391 | INFO | QUANTUM-NN-PREDICTIVE | [PRED] Predicting failure for equipment COMPRESSOR_001...
2025-07-10 10:21:28,393 | ERROR | QUANTUM-NN-PREDICTIVE | Failed to record maintenance prediction: FOREIGN KEY constraint failed
2025-07-10 10:21:28,393 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Failure Prediction: 0.612 probability
2025-07-10 10:21:28,393 | INFO | QUANTUM-NN-PREDICTIVE | [MAINT] Priority: HIGH, Confidence: 0.875
2025-07-10 10:21:28,394 | INFO | QUANTUM-NN-PREDICTIVE | [NN] Training Quantum Predictive Model for TYPE_MOTOR...
2025-07-10 10:21:28,412 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Quantum Model Trained: 0.971 accuracy
2025-07-10 10:21:28,412 | INFO | QUANTUM-NN-PREDICTIVE | [Q] Quantum Advantage: 1.00x
2025-07-10 10:21:28,412 | INFO | QUANTUM-NN-PREDICTIVE | [PRED] Predicting failure for equipment MOTOR_001...
2025-07-10 10:21:28,414 | ERROR | QUANTUM-NN-PREDICTIVE | Failed to record maintenance prediction: FOREIGN KEY constraint failed
2025-07-10 10:21:28,415 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Failure Prediction: 0.528 probability
2025-07-10 10:21:28,415 | INFO | QUANTUM-NN-PREDICTIVE | [MAINT] Priority: MEDIUM, Confidence: 0.909
2025-07-10 10:21:28,415 | INFO | QUANTUM-NN-PREDICTIVE | [NN] Training Quantum Predictive Model for TYPE_GENERATOR...
2025-07-10 10:21:28,432 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Quantum Model Trained: 0.979 accuracy
2025-07-10 10:21:28,432 | INFO | QUANTUM-NN-PREDICTIVE | [Q] Quantum Advantage: 5019.51x
2025-07-10 10:21:28,433 | INFO | QUANTUM-NN-PREDICTIVE | [PRED] Predicting failure for equipment GENERATOR_001...
2025-07-10 10:21:28,434 | ERROR | QUANTUM-NN-PREDICTIVE | Failed to record maintenance prediction: FOREIGN KEY constraint failed
2025-07-10 10:21:28,434 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Failure Prediction: 0.559 probability
2025-07-10 10:21:28,434 | INFO | QUANTUM-NN-PREDICTIVE | [MAINT] Priority: MEDIUM, Confidence: 0.896
2025-07-10 10:21:28,435 | INFO | QUANTUM-NN-PREDICTIVE | [ENT] Fleet Analysis: 5 units
2025-07-10 10:21:28,435 | INFO | QUANTUM-NN-PREDICTIVE |   Critical Priority: 0 units (0.0%)
2025-07-10 10:21:28,435 | INFO | QUANTUM-NN-PREDICTIVE |   High Priority: 2 units (40.0%)
2025-07-10 10:21:28,435 | INFO | QUANTUM-NN-PREDICTIVE |   Average Failure Probability: 0.590
2025-07-10 10:21:28,435 | INFO | QUANTUM-NN-PREDICTIVE |   Average Prediction Confidence: 0.836
2025-07-10 10:21:28,435 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Fleet monitoring complete: 5 predictions
2025-07-10 10:21:28,436 | INFO | QUANTUM-NN-PREDICTIVE | [PROC] Real-time anomaly detection for PUMP_001...
2025-07-10 10:21:28,440 | INFO | QUANTUM-NN-PREDICTIVE | [OK] Anomalies detected: 0/20
2025-07-10 10:21:28,440 | INFO | QUANTUM-NN-PREDICTIVE | [Q] Real-time Quantum Advantage: 5622.75x
